Company,Group,Prev Close (Rs),Current Price (Rs),% Change
Innokaiz India,MT,78.00,155.61,+ 99.50
Neuland Laborat,B,"2,116.80","2,540.15",+ 20.00
Kirloskar Bros.,B,423.10,507.70,+ 20.00
Simplex Papers Ltd.,X,17.25,20.70,+ 20.00
De Nora India Ltd.,B,"1,116.20","1,339.40",+ 20.00
Ashiana Ispat,X,31.52,37.82,+ 19.99
Netlink Solutions (I,X,84.98,101.97,+ 19.99
Advance Metering Tec,X,18.62,22.34,+ 19.98
Indong Tea Company L,M,14.08,16.89,+ 19.96
Modison L,B,62.07,72.50,+ 16.80
Venlon Enterprises,X,4.82,5.59,+ 15.98
Atam Valves,B,223.75,258.50,+ 15.53
Saven Technologies L,X,36.92,42.60,+ 15.38
Ishaan Infrastru,X,3.09,3.55,+ 14.89
Sastasundar Ventures,B,236.80,269.50,+ 13.81
Superior Finlease,X,1.50,1.70,+ 13.33
Mohit Industries,B,15.00,16.88,+ 12.53
Vascon Engineers Ltd,B,31.92,35.90,+ 12.47
SM Auto Stamping,M,51.00,56.99,+ 11.75
Ind. Inv Trust,B,89.50,100.01,+ 11.74
GE T&D India,B,198.55,219.85,+ 10.73
Refex Industries,B,319.20,353.35,+ 10.70
Waa Solar,M,39.30,43.50,+ 10.69
Clara Industries,M,200.50,221.45,+ 10.45
Markolines Pavement,M,114.90,126.80,+ 10.36
Zim Laboratories,B,75.80,83.38,+ 10.00
Eimco Elecon Ind,B,586.15,644.75,+ 10.00
R T Exports Ltd.,X,24.20,26.62,+ 10.00
WelspunInvestments,B,312.05,343.25,+ 10.00
Gujarat Poly Electro,X,40.05,44.05,+ 9.99
CCL International Lt,X,22.64,24.90,+ 9.98
Inducto Steel Li,X,33.88,37.26,+ 9.98
Shemaroo Entertainme,B,129.70,142.65,+ 9.98
Exhicon Events Media,MT,104.85,115.30,+ 9.97
Genus Prime Infra Lt,X,10.23,11.25,+ 9.97
Cybele Industries Lt,X,16.28,17.90,+ 9.95
Sagar Productions,X,2.82,3.10,+ 9.93
Shree Karthik Pa,X,6.67,7.33,+ 9.90
Sharpline Broadcast,X,6.16,6.77,+ 9.90
Mukat Pipes,X,6.57,7.22,+ 9.89
Otco Internation,X,4.75,5.22,+ 9.89
GTL Infrastructure,A,0.81,0.89,+ 9.88
Ajcon Global Service,X,30.25,33.20,+ 9.75
MPDL,X,23.66,25.95,+ 9.68
Sirca Paints India,B,307.95,337.60,+ 9.63
Summit Securities,B,611.90,670.15,+ 9.52
Indo National,B,320.70,351.00,+ 9.45
TeamLease Service,A,"2,076.05","2,272.20",+ 9.45
Chandra Bhagat Pharm,M,119.90,131.00,+ 9.26
Mazda Ltd.,B,668.25,730.00,+ 9.24
Sanofi India,A,"5,698.60","6,210.05",+ 8.98
Dev Labtech Venture,M,61.41,66.89,+ 8.92
